keyword,frequency
unit building,8
crushed stone,8
copper gutter,8
repair floor,8
phase,8
3/4 bath,8
stud wall,8
toilet,8
remove doors,8
garage space,8
wood flooring,8
repair damage,8
exist oil tank,8
new house panel,8
exterior demolition,8
plaster ceiling,8
paint exterior,8
remove interior finishes,8
remove portion,8
exist unit,8
527 cmr,8
decking board,8
new bathtub,8
roof material,8
velux skylight,8
blown insulation,8
renovate interior,8
build in,8
select demolition,8
sub -,8
base,8
bath accessibility,8
kitchen backsplash,8
install new fixtures,8
install kitchen cabinets,8
remove trash,8
line disconnect,8
job,8
amp load,8
new porch,8
replace section,8
interior fitout,8
new laboratory equipment,8
replace windows siding,8
ac unit,8
open office,8
exist home,8
fire alarm device,8
new drywall partition,8
fourth floor,8
install sprinkler system,8
drawing,8
floor covering,8
steel dunnage,8
family building,8
toilet partition,8
second bathroom,8
contract,8
plumbing update,8
south,8
floor installation,8
remove decking,8
office workplace,8
repair drywall,8
roof garden,8
building exterior,8
window sill,8
slate repair,8
new replacement window,8
door location,8
minor change,8
rework mep,8
wall opening,8
- point,8
recess lighting,8
egress door,8
2 kitchens,8
install skylights,8
dust control,8
1st level,8
laboratory renovation,8
elevator shaft,8
skirt board,8
refinish floors,8
1 site,8
interior finishes,8
fire protection system,8
project area,8
guard rail,8
replace decking,8
install new drywall,8
replace columns,8
select demo,8
mep modification,8
entry vestibule,8
fire stop,8
dormer addition,8
2 inch,8
complete interior demolition,8
apartment renovation,8
18 windows,8
hand washing sink,8
blow cellulose,8
phone room,8
wood shingle,8
basement room,8
chimney cap,8
replace ceiling,8
glass panel,8
structural wall,8
clapboard siding,8
future tenant,8
floor framing,8
closet area,8
ceiling fan,8
remove antennas,8
save insulation,8
exist light fixture,8
new location,8
10 ft,8
install bathroom,8
finish floor,8
build new bathroom,8
exist restaurant,8
3rd level,8
laundry hookup,8
install condensers soffits,8
pt wood,8
exterior brick,8
demolition permit,8
design,8
install mini - split systems,8
slide door,8
13th floor,8
thermal barrier polyiso,8
drop outlet,8
dinning room,8
kneewall insulation,8
access door,8
door weather,8
entire house,8
material,8
laundry closet,8
basement storage,8
wood siding,7
exist bedroom,7
replace fixture,7
building facade,7
15 windows,7
new design,7
proposed work,7
1st fl,7
construction project,7
alarm device,7
sheetrock plaster,7
interior partition wall,7
exist antenna,7
build new deck,7
7 replacement,7
remove demolition,7
10 exist window,7
roof area,7
finish decking,7
remove drywall,7
replace finishes decking,7
wall partition,7
work station,7
update electric,7
exterior repair,7
1 exterior,7
french drain,7
rooftop,7
new material,7
frame basement,7
outside wall,7
new act,7
accessibility modification,7
shower surround,7
layout change,7
unit #,7
new post,7
replace front door,7
hvac equipment,7
alarm installation,7
refinish wood floor,7
install kitchen,7
porch renovation,7
4 units,7
open space,7
porch railing,7
gutter repair,7
new antenna,7
sprinkler relocation,7
design document,7
new lab,7
coat closet,7
3 antennas,7
mechanical penthouse,7
glazing system,7
ceiling board,7
dry wall,7
gut renovate,7
wall base,7
save weatherization,7
replace exterior door,7
selective renovation,7
2 patio,7
bathroom rennovation,7
residential unit,7
install patio door,7
floor wood,7
insulate rim,7
bear wall,7
new restroom,7
roof work,7
repair plaster,7
restroom renovation,7
install new skylights,7
3 bedrooms,7
exist step,7
bathroom shower,7
vinyl plank,7
electric fixture,7
coat,7
mudroom,7
epdm rubber,7
install owner,7
cambridge hospital,7
exist finished,7
floor system,7
trim board,7
small deck,7
structural reinforcement,7
mep fixture,7
door trim,7
metal frame,7
closet space,7
electrical wiring,7
2 alterations,7
rear door,7
garage ceiling,7
shower fixture,7
replace floor,7
architectural demolition,7
renovate basement,7
exist bath area,7
propose modification,7
10 replacement,7
follow modification,7
shower pan,7
east elevation,7
replace exterior,7
exist bathtub,7
4th floors,7
current location,7
brick masonry,7
basement wall,7
design plan,7
new partition wall,7
dwelling unit,7
new blue board,7
seperate permit,7
mechanical equipment,7
fire stopping,7
gas line,7
kitchen pantry,7
exist rear porch,7
room wall,7
level porch,7
zoning ordinance,7
small addition,7
new walk,7
permit request,7
exhaust hood,7
insulation board,7
fire department,7
7 existing,7
demo work,7
remove demo,7
complete interior renovation,7
renovation scope,7
remove replace window,7
steel door,7
exist interior partitions,7
demo drywall,7
new interior door,7
building systems,7
second floor deck,7
new sheetrock,7
replace unit,7
interior modification,7
shower head,7
6 feet,7
2 bathroom,7
small,7
new exhaust fan,7
proposal,7
building structure,7
basement bedroom,7
board room,7
water supply,7
engineering drawing,7
traffic coating,7
sealant replacement,7
rear bedroom,7
half wall,7
intent,7
culture room,7
open blow,7
repair brick,7
complete gut renovation,7
replace tub surround,7
8 ft,7
repair replace,7
rubber roofing,7
electrical,7
permit #,7
exterior stair,7
floor plate,7
install new window,7
10 existing,7
exist footing,7
hand sink,7
floor opening,7
porch area,7
replace steps,7
wood framing,7
metal roof,7
harvey vinyl,7
owens corning,7
crawl space,7
partition layout,7
remove shower,7
ceiling joist,7
remove patio door,7
room area,7
sprinkler modification,7
spray foam insulation,7
replace vanity,7
upgrade electric,7
build soffit,7
private meeting area,7
21k sf,7
mit utility plant,6
single family home,6
steam line,6
garbage disposalinstall,6
additional work,6
minor modification,6
ada bathroom,6
story rear,6
new column,6
construction window,6
hvac,6
upgrade mep,6
finished basement,6
control room,6
fiberglass insulation,6
new shower valve,6
shower rod,6
medium temperature,6
new mep system,6
hvac modification,6
basket strainer,6
rod holder,6
entire interior,6
impact,6
shelf support,6
2nd story,6
wood deck,6
install new rubber roof,6
replace fixtures cabinets,6
closet shelf,6
replace stairs,6
lab casework,6
floor exterior,6
existing kitchen,6
core area,6
microwave install,6
new mechanical equipment,6
electrical permit,6
telecommunication facility,6
certainteed landmark,6
historic commission,6
2 feet,6
selective repair,6
primary bedroom,6
remove partition wall,6
exist fireplace,6
sale floor,6
replace fence,6
replace old windows,6
concrete pad,6
work order,6
install doors windows,6
temper glass,6
repair gutter,6
room space,6
8 existing,6
remove closet,6
minor repair,6
exhaust duct,6
lewis hall,6
café area,6
paint entire unit,6
entry step,6
fiber cement,6
architect drawing,6
egress stairwell,6
white box,6
remove roof,6
architectural upgrade,6
paint job,6
new area,6
bicycle shed,6
2 baths,6
co detector,6
expansion,6
square footage,6
install tub,6
mortar color,6
fire wall,6
1 unit,6
structural plan,6
tea shop,6
construction activity,6
2 units,6
26 windows,6
flooring board,6
emergency generator,6
replace shower,6
bathrooms remodel,6
exisiting building,6
basement sill,6
partition,6
propose plan,6
exist classroom,6
bathroom hardware,6
1 windows,6
exam room,6
concrete slab,6
seating area,6
sheet metal,6
deck frame,6
remove plaster,6
shower base,6
carpentry workfurnish,6
replace deck boards,6
chemical storage,6
east wall,6
install new insulation,6
exist dormer,6
remove renovation,6
new rubber roof,6
floor demo,6
door casing,6
main bathroom,6
charles hotel,6
interior remodeling,6
tile installation,6
plumbing systems,6
solar blinds,6
transom window,6
layer,6
existing finishes,6
attic blow,6
architect,6
gfci outlet,6
exist shell space,6
facia board,6
building inspector,6
tub,6
14 windows,6
permit number,6
remove disposal,6
site fencing,6
install premium,6
install new kitchen appliances cabinets,6
+ /-,6
entry doors,6
season porch,6
renovate ada unit,6
steel frame,6
new one,6
replace railings decking,6
fixture replacement,6
ground,6
lighting control,6
facade repair,6
bathroom area,6
replace walls,6
rock wall,6
wellness room,6
complete remodel,6
use building,6
building area,6
restaurant,6
marvin window,6
commercial space,6
5 existing,6
bedroom area,6
panel antenna,6
open blow cellulose,6
wood stud,6
new composite decking,6
wet wall,6
restaurant fit,6
new fire,6
perimeter,6
minor interior renovation,6
affected area,6
new railing,6
finished floor,6
interior upgrade,6
window perimeter,6
tatte bakery,6
hvac work,6
stair landing,6
small window,6
grade level,6
repair envelope,6
pantry area,6
old window,6
exist gutter,6
patch drywall,6
closet wall,6
5 story,6
interior framing,6
drinking fountain,6
classic vinyl,6
solar panel,6
repair trim,6
double hung,6
food hall,6
air unit,6
new ductwork,6
repair carpentry,6
tub area,6
basement kitchen,6
distribution,6
weatherization insulation,6
split system,6
radio head,6
remove sheetrock,6
building lobby,6
fp upgrade,6
2 bedroom,6
cover tape,6
fixture location,6
new concrete,6
exisitng finish,6
construction work,6
2 offices,6
lower level,6
install basement,6
unfinished basement,6
pour footing,6
accessory apartment,6
entry stair,6
wall repair,6
premise,6
wall system,6
azek decking,6
wall demo,6
pvc board,6
new mechanical,6
heat detector,6
install new kitchen sink cabinets,6
exist slide door,6
laundry area,6
replace front porch,6
struc.steel support,6
linen closet,6
outlet,6
cell foam,6
3 kitchens,6
penthouse,6
open office space,6
kneewall floor,6
new sprinkler system,6
attic area,6
construction area,6
new concrete slab,6
remainder,6
cabinet light,6
upper level,6
new board,6
repair,6
street building,6
install new tiles,6
level p1,6
landlord renovation,6
cmu wall,6
2 1/2,6
1/2 baths,6
appliance,6
meeting space,6
floor rear,6
complete demo,6
exterior facade,6
sf interior,6
attic slope,6
new power,6
exist frame,6
northeast corner,6
new sprinkler,6
led light,6
insulation insulate,6
attic open blow,6
barrier board,6
replace kitchen renovation,6
occupancy load,6
2nd flr,6
exist ductwork,6
plumber,6
replace finishes fixtures,6
brick facade,6
replace bathroom renovation,6
14 new,6
tenant,6
new acoustical ceiling,6
mop sink,6
waiting area,6
kitchen counter,6
structural alteration,6
install marvin replacement windows,6
repair windows,6
238 main,6
grease trap,6
main roof,6
sitting room,6
12 inches,6
mep device,6
replace appliances,6
seamless aluminium,6
duplex unit,6
party wall,6
8 foot,6
"28,000 gsf",6
fiberglass batt,6
2 site,6
emergency lighting,6
french door,6
hvac distribution,6
home renovation,6
exist sprinkler head,6
cap plumbing,6
new outlet,6
chimney,6
11 replacement window,6
install linear feet,6
new frame,6
repair water,5
trim,5
width,5
remodel basement,5
science center,5
finish material,5
new hvac unit,5
construction permit,5
install new kitchen tops cabinets,5
fire code,5
basement door,5
equipment,5
deans residence,5
new furniture,5
story highrise,5
point brick,5
existing building,5
exist shingle,5
1 bath,5
new concrete footing,5
water piping,5
basement office,5
life safety system,5
partial floor,5
replace insulation,5
tub wall,5
rear stair,5
install new decking,5
tenant interior,5
phase ii,5
architect plan,5
associated mep,5
exist tenant,5
water table,5
pella architect,5
remodel interior,5
replace framing,5
remove entry doors,5
install new lighting,5
game area,5
install new floor,5
1/2 bathrooms,5
12 replacement window,5
deck structure,5
existing,5
replace porch,5
bathroom window,5
floor balcony,5
new kitchenette,5
replace lights,5
north elevation,5
bike storage,5
hvac plumbing,5
install new kitchen countertops cabinets,5
structural modification,5
minor plumbing,5
machine room,5
exist conference room,5
window door,5
replace rear deck,5
renovate unit,5
interior tenant renovation,5
increase,5
office tenant,5
1 wall,5
interior living unit,5
install door windows,5
window sash,5
guest room,5
10 harvey,5
roof access,5
floor partition,5
build,5
office fitout,5
brick veneer,5
basement footing,5
new lab space,5
prep sink,5
drywall ceiling,5
window unit,5
tile bathroom floor,5
seat count,5
2 skylights,5
foundation interior,5
stone foundation,5
remove unit,5
interior selective demolition,5
coil unit,5
shower room,5
new decking board,5
painting,5
lab tenant,5
build new upper walls,5
planning board,5
replace flooring,5
new architectural layout,5
light switch,5
engineer design,5
2 basement,5
remove bathtub,5
exterior cladding,5
smoke chamber,5
washing machine,5
patio area,5
3 doors,5
program space,5
mit campus,5
basement rim,5
building mep,5
install plumbing,5
mepfp system,5
kitchen hood,5
second floor bath,5
non structural partition,5
proper flashing,5
kitchen fixture,5
3/4 plywood,5
10 new,5
8 feet,5
kitchen upgrade,5
exist permit,5
dig basement,5
center building,5
exist toilet,5
2 coats,5
bathroom space,5
blower door test,5
paint room,5
conf room,5
equipment upgrade,5
build install,5
exist laboratory space,5
entrance hall,5
window casing,5
rear section,5
6 story,5
jersey barrier,5
radio units,5
mineral wool,5
backsplash tile,5
new elevator,5
frame,5
roof dormer,5
wall floor,5
office room,5
14 replacement window,5
replace paint,5
brick,5
play room,5
laundry,5
new meps,5
living room wall,5
pedestrian walkway,5
4 family,5
common space,5
rough plumbing,5
perimeter wall,5
new garage door,5
freight elevator,5
site prep,5
perimeter drain,5
new interior,5
replace window door,5
replace structural work,5
repoint masonry,5
3 levels,5
insulate clapboard,5
2.5 bathrooms,5
patch siding,5
conference area,5
conversion,5
lighting plan,5
replace kitchen countertops cabinets,5
install deck,5
3RD floor,5
exhaust system,5
deck surface,5
aluminum window,5
second level,5
remove partition walls,5
14 existing,5
4 feet,5
install marvin windows,5
11 harvey,5
remove cabinet,5
install new interior doors,5
replace plumber,5
build half bathroom,5
remove door windows,5
electrical service,5
house area,5
entire kitchen,5
replace floors,5
install plumbing fixture,5
