record_number,keyword,frequency
74,range hood,10
74,bathroom interior,2
74,duct vent,2
74,kitchen sink,9
74,kitchen cabinet,188
74,ground floor,65
74,range hood,10
74,bathroom interior,2
74,duct vent,2
74,led fixture,3
74,kitchen sink,9
75,insulation work,599
75,insulation work,599
75,mass save,368
75,save program,353
76,remove old windows,2
76,install new replacement windows,9
76,vinyl window,32
76,vinyl replacement,31
77,insulation work,599
77,insulation work,599
77,mass save,368
77,save program,353
78,insulation work,599
78,insulation work,599
78,mass save,368
78,save program,353
79,tenant improvement,38
79,mep work,26
79,tenant improvement,38
79,mep work,26
80,3 windows,42
80,structural change,561
81,mass save,368
81,save program,353
82,install replacement windows,79
82,9 replacement,20
82,structural change,561
83,office space,207
83,new mepfp,3
83,new layout,74
83,interior partition demo,1
83,separate demo permit,1
83,office space,207
84,install replacement windows,79
84,exist opening,73
84,.27,1
84,temper glass,6
84,hazard area,2
84,- factor,5
84,hazard area,2
85,replace windows siding,8
86,air sealing,782
87,work order,6
87,replacement tub,1
87,shower unit,4
87,work order,6
88,insulation work,599
88,insulation work,599
88,save program,353
89,replace kitchen tiles cabinets,2
89,bathroom,187
89,kitchen cabinet,188
89,kitchen floor tile,3
89,unit,75
89,kitchen cabinet,188
90,install awning,1
90,install tall projection,1
90,13'2 wide,3
90,13'2 wide,3
90,13'2 wide,3
91,structural change,561
91,air sealing,782
92,install door,36
92,rear bedroom,6
92,rear porch,20
93,insulation work,599
93,insulation work,599
93,mass save,368
93,save program,353
94,cellulose insulation,100
94,exterior wall,166
94,cellulose insulation,100
95,insulation work,599
95,insulation work,599
95,mass save,368
95,save program,353
96,insulation work,599
96,mass save,368
96,save program,353
98,repair brick,6
98,repoint masonry joint,1
98,damage brick,1
99,build partition wall,3
99,new room,12
99,new room,12
100,insulation work,599
100,insulation work,599
100,mass save,368
100,save program,353
101,remove countertops cabinets,2
101,kitchen remodel,97
101,exist cabinet,31
101,kitchen remodel,97
102,demolition,18
103,insulation work,599
103,massave program,24
103,insulation work,599
103,massave program,24
104,air sealing,782
104,air sealing,782
105,insulation work,599
105,insulation work,599
105,mass save,368
105,save program,353
107,infrastructure upgrade,15
107,fire alarm,348
107,fire protection,225
107,infrastructure upgrade,15
107,fire alarm,348
107,fire protection,225
109,replace interior door,2
110,general weatherization,2
110,blown insulation,8
110,air seal,17
110,door weatherstripping,2
110,general weatherization,2
110,blown insulation,8
110,air seal,17
110,door weatherstripping,2
111,9th floor,17
111,exist space,74
111,9th floor,17
111,fire protection,225
111,fire alarm,348
111,fire protection,225
111,fire alarm,348
112,20x 40,1
112,40 inground,1
112,inground pool,1
114,half bath,75
114,shower,21
114,half bath,75
115,air sealing,782
115,air sealing,782
116,blown cellulose,11
116,blown cellulose,11
117,structural change,561
117,11664811 unit,1
117,air sealing,782
118,remodel kitchen,91
118,floor bathroom,156
118,floor bathroom,156
120,remove kitchen cabinets,22
120,replace countertop,5
120,install bathroom floor,1
120,install new flooring,14
120,layout,31
120,new bathroom floor,1
120,bathtub,5
120,entire unit,21
121,mass save program,25
122,1056sqft basement,2
122,insulate 1056sqft,1
122,1056sqft basement,2
122,basement ceiling,17
122,fiberglas batt,1
123,air sealing,782
124,mass save insulation,14
124,exterior wall,166
124,rim joist,40
124,exterior wall,166
125,replace replacemente,1
125,replace exterior door,7
125,replace patch ceiling walls,1
125,07 windows,1
125,patch wall,14
125,patch wall,14
126,remove kitchen fixtures cabinets,1
126,exist kitchen cabinet,32
126,half bath fixture,1
126,new tile,58
126,new cabinet,93
126,exist location,27
127,plumbing upgrades,2
127,renovation upgrade,1
127,fa upgrades,1
127,plumbing upgrades,2
128,asphalt shingle replacment,1
129,renovation,81
129,detach condo,3
130,small sink,3
130,basement,92
130,purpose,9
130,bay cabinet,1
131,large space,2
131,teannt relocation,2
131,tenant space,73
131,teannt relocation,2
132,install windows structural work,3
132,8 replacement,13
132,replacement window,270
133,9477812 6416360,1
133,structural change,561
133,site id,477
133,air sealing,782
133,site id,477
134,1 13381599,1
134,13381599 unit,2
134,2 9923510,1
134,structural change,561
134,site id unit,5
134,13381599 unit,2
134,air sealing,782
135,remodel current house,1
135,rear bedroom,6
136,bathroom remodel,123
136,bathroom remodel,123
137,outside patio,1
137,patio seating,1
137,seating area,4
138,air sealing,782
138,air sealing,782
139,property,31
140,kitchen remodel,97
140,kitchen remodel,97
141,weatherization work,10
141,massave program,24
141,weatherization work,10
141,massave program,24
142,structural change,561
142,site id,477
142,air sealing,782
142,site id,477
143,bathroom,187
144,3rd floor,285
144,gut renovate,7
144,renovate 2nd,1
144,floor bathroom,156
146,structural change,561
146,site id,477
146,air sealing,782
146,site id,477
147,structural change,561
147,site id,477
147,air sealing,782
147,site id,477
149,install windows,55
149,replace old windows,6
149,11 windows,17
149,11 windows,17
149,exist opening,73
150,1ST floor,10
150,1st floor,343
150,new interior finish,12
150,bathroom renovation,251
150,plumbing fixture,94
152,1 site,8
152,13712337 unit,1
152,2 13871364,1
152,13871364 unit,2
152,3 14367912,1
152,structural change,561
152,13871364 unit,2
152,air sealing,782
152,site id,477
153,interior demo,88
153,exterior finish,5
154,second floor,157
154,primary bathroom,10
155,8 windows,20
155,kitchen remodeling,25
155,kitchen remodeling,25
155,windows replacement,12
155,replacement exterior,4
155,exterior painting,11
156,replace rotting pt,1
156,repair porch,17
156,replace deck board,1
156,guard rail,8
156,new lattice work,1
156,facial board,1
156,concrete stair,2
156,guard rail,8
157,3rd floor,285
157,floor exterior,6
157,exterior door,47
158,roof deck,57
158,roof deck,57
159,install rooftop solar panels system,1
159,20 panels,1
159,8 kw,1
159,rooftop solar system,1
159,kw dc,1
160,remove escape stairs,1
160,install new stairs,3
160,footprint,44
160,wood structure,3
160,structure fire,1
160,fire escape,5
161,remodel kitchen,91
161,layout,31
162,install new flooring suite,1
162,13th floor,8
162,floor select dmeolition,1
162,13th floor,8
162,paint suite,1
163,exist residential home,1
163,office space,207
163,administration building,3
163,exist hvac system,4
163,ada upgrade,2
163,office space,207
163,administration building,3
163,fire alarm,348
163,alarm system,34
163,ada upgrade,2
164,exploratory interior demo,1
166,new flooring,79
166,install 1/2 bath,4
166,macerating toilet,2
166,waste,1
166,exhaust fan,35
166,basement partion,1
166,macerating toilet,2
166,exhaust fan,35
167,remove windows replace,23
167,replace same size like windows,5
167,size windows,18
168,exterior wall,166
169,7 replacement,7
169,framing,22
169,replacement window,270
170,exterior repair,6
170,exterior wall,166
170,interior -insulation,2
170,repair rot,4
170,interior -insulation,2
171,remove telecom equipment,2
172,fixture,13
172,location,79
173,interior demolition,131
174,1 entry,20
174,1 patio,39
174,entry door,113
174,patio door,83
174,entry door,113
174,patio door,83
175,kneewall slope,17
175,pack cellulose,35
176,kneewall insulation,8
176,air sealing,782
176,kneewall insulation,8
176,air sealing,782
177,remove lower installation level,1
177,40 linear foot,2
177,area,43
177,window bay,1
177,cedar shingles,1
177,shingles siding,1
177,step copper,1
177,copper flashing,2
178,install vinyl,1
178,vinyl siding,15
178,pvc trim,15
179,intrior renovation,2
179,intrior renovation,2
179,office space,207
180,remove windows,62
180,14 existing,4
180,14 new,6
180,exist window,123
180,structural work,326
180,replacement window,270
181,replace fireplace,1
182,construct new full bathroom,1
182,home office,12
182,new bathroom,108
182,storage room,17
182,home office,12
183,structural change,561
183,site id,477
183,air sealing,782
183,site id,477
184,interior renovation,326
184,new kithcen,2
185,renovate kitchen,106
185,install builtin,2
185,living room,222
185,install builtin,2
185,living room,222
186,install shower stall,2
186,structural change,561
187,single family,26
187,accessory unit,2
188,1500 wood,1
188,heat shield,2
188,wood stove,4
188,steel chimney,2
188,chimney liner,1
188,heat shield,2
189,replace finishes,19
189,replace fixtures,12
189,1 alteration,2
189,level alteration,13
189,office building,12
189,office building,12
190,structural change,561
190,site id,477
190,air sealing,782
190,site id,477
191,repair basement stair,1
192,vinyl wall,13
192,vinyl wall,13
192,vinyl wall,13
193,bathroom renovation,251
194,install 4'x4 window,1
195,replace windows,238
195,repair front steps,2
195,entrance,18
196,remove windows,62
196,install storm door,2
196,6 existing,12
196,6 new,16
196,1 new,37
196,exist window,123
196,new window,165
196,structural work,326
197,structural change,561
197,site id,477
197,air sealing,782
197,site id,477
198,structural change,561
198,site id,477
198,air sealing,782
198,site id,477
199,install anderson patio door,1
200,pack cellulose,35
201,air sealing,782
201,air sealing,782
202,exterior wall,166
203,attic floor insulation,2
203,air sealing,782
203,air sealing,782
204,insulation work,599
204,insulation work,599
204,save program,353
205,entry door,113
205,exist opening,73
205,entry door,113
206,8203484 site,1
206,8248396 site,1
206,structural change,561
206,air sealing,782
206,site id,477
207,replace old windows,6
207,3 old,2
207,window ---double,1
207,---double hung,1
207,hung window,2
208,replace new ground decking level,1
208,replace stair area railings,1
208,new ground level,1
208,outdoor decking,2
208,upper stair railing,1
208,fence storage area,1
208,exist deck,89
208,level outdoor,1
208,outdoor decking,2
209,build loft,1
209,build byu,1
209,build prior tennant,1
209,remove loft,1
210,bathroom remodel,123
210,repair,6
210,bathroom remodel,123
211,remove season front porch,1
211,remove storm windows,3
211,install windows same layout,1
211,build partition wall,3
211,remove window,22
211,remove frame,4
211,install new flooring,14
211,exist storm window,2
211,entry way,10
211,exist window,123
211,new door,98
211,living room,222
211,entry way,10
211,wall linving,1
211,linving room,1
211,living room,222
211,floor system,7
213,replace repair,22
213,bath replace tub,1
213,retile paint,1
213,replace ceiling,8
213,tol .,1
214,structural change,561
214,site id,477
214,air sealing,782
214,site id,477
215,dense pack cellulose,30
215,fiberglass batting,18
215,air sealing,782
215,estimated 62.5 cfm50,2
215,rim joist,40
215,fiberglass batting,18
215,balloon framing,1
215,framing blocking,1
215,air sealing,782
215,exterior door,47
215,door weather,8
216,thermal barrier polyiso,8
216,transition air sealing,3
216,buffered interior-,2
216,dense pack celullose,1
216,kneewall wall,3
216,kneewall slope-,1
216,buffered interior-,2
217,structural change,561
217,mass save,368
217,save insulation,8
217,air sealing,782
217,wall insulation,45
218,replace building alarm system,1
218,fire alarm,348
219,replace garage door,3
219,exist garage,22
219,finished room,2
220,thermax,2
220,6mil vapor barrier,1
221,build new full bath,2
221,build new eletrical walls tiles plumbing,1
221,new bath,22
221,second floor,157
221,install tile,27
221,insulate wall,25
221,install tile,27
222,repair repairs sealants,1
222,repair mortar,1
222,concrete repair,19
222,mortar repair,2
222,mortar repair,2
223,remove replace exterior door,4
223,1 existing,32
224,structural change,561
224,site id,477
224,air sealing,782
224,site id,477
225,600 sq,2
225,exist space,74
225,floor,180
225,mallinckrodt laboratory,2
225,rooms m303l,2
225,chemical laboratory,2
225,mallinckrodt laboratory,2
225,rooms m303l,2
225,sq .,15
225,. ft,12
225,ft .,15
225,. total,1
225,chemical laboratory,2
226,patch section,2
226,patch section,2
227,stair,24
227,brick riser,1
227,gray mist,1
227,mist granite,1
227,granite caps1,1
227,"caps1 10.5'x4'10""x6.5",1
229,structural change,561
229,site id,477
229,air sealing,782
229,site id,477
230,replace bathroom remolding,1
230,replace sheetrock new light,1
230,remove trash,8
231,building material,4
232,wood insert,5
232,wood insert,5
233,basement renovation work,1
233,future bathroom,2
233,basement slab,24
233,foundation wall,41
233,wall underpinning,1
234,bath reno,2
234,bath reno,2
235,2 bathrooms,47
235,remodel kitchen,91
235,sand floor,28
235,remodel kitchen,91
236,8593234 site,1
236,structural change,561
236,air sealing,782
236,site id,477
237,insulation work,599
237,insulation work,599
237,mass save,368
237,save program,353
238,air seal,17
238,air seal,17
239,1668 sq.ft,2
239,1668 sq.ft,2
239,exterior wall,166
239,cellulose insulation,100
239,cellulose insulation,100
240,demo,4
240,bathroom,187
240,structural work,326
241,exterior wall,166
241,rim joist,40
241,air sealing,782
241,exterior wall,166
241,rim joist,40
241,joist insulation,2
241,air sealing,782
242,structural change,561
242,site id cap-8123,1
242,air sealing,782
243,exist lab space,35
243,new lab area,9
244,replace appliances cabinets,3
244,exist kitchen,125
245,insulation work,599
245,insulation work,599
245,mass save,368
245,save program,353
246,replace skylight,14
246,remove debris,30
246,1 existing,32
246,exist skylight,33
248,freigh farm,1
248,farm container,1
248,garden box,1
249,new toilet,18
250,structural change,561
250,air sealing,782
251,kneewall insulation,8
251,r19 fiber,2
251,thermax,2
251,kneewall insulation,8
251,r19 fiber,2
252,insulation work,599
252,insulation work,599
252,mass save,368
252,save program,353
253,residential weatherization,27
253,air sealing,782
253,structural change,561
253,air sealing,782
253,mass save,368
253,save program,353
254,mass save,368
254,save weatherization,7
254,insulation work,599
254,work site,1
255,install interior doors,2
255,2 exterior,11
255,kitchen cabinetry,14
255,install gas range,1
255,range hood,10
255,install bathroom tile,1
255,medicine cabinet,25
255,exterior screen door,1
255,closet door,21
255,paint wall,54
255,kitchen cabinetry,14
255,range hood,10
255,medicine cabinet,25
255,ground floor,65
255,floor door,3
255,closet door,21
256,replace window,60
256,1 window,47
257,remove front,2
257,remove corbets,1
257,40 feet,3
257,6 windows,33
257,40 foot,2
257,white aluminum,3
258,cosmetic rennovation,1
259,measurement,4
259,layout,31
259,deck replacement,11
260,interior finish,55
260,new partition,55
260,fa system,12
261,replace batthroom fixtures,1
261,install new tile,21
261,second floor bathroom,17
262,insulation weatherization,24
264,layout,31
264,bathroom remodelnew,1
265,structural change,561
265,site id,477
265,air sealing,782
265,site id,477
266,2nd floor,378
266,floor roof,12
266,roof deck,57
267,build new side wall,1
267,fence,3
268,bathroom renovation,251
268,bathroom renovation,251
269,3 bathrooms,15
269,remove fixture,2
269,main bath,3
269,remove fixture,2
269,wall covering,18
269,plumbing location,4
270,insulate wall,25
271,cellulose insulation,100
271,exterior wall,166
271,cellulose insulation,100
272,replace fascia soffit,1
273,insulation work,599
273,insulation work,599
273,mass save,368
273,save program,353
274,air sealing,782
274,air sealing,782
275,interior renovation,326
275,conference room,107
275,conference room,107
276,renovate kitchen,106
277,exterior wall,166
277,attic space,9
278,repair concrete stair,1
278,repair pan,1
278,stairwells,1
278,stair pan,1
278,pan repair,1
278,technology sq,1
278,sq garage,1
279,structural change,561
279,site id,477
279,air sealing,782
279,site id,477
280,replace door,19
280,replace window,60
281,exterior foundation restoration,1
282,repair small siding,1
282,bathroom renovation,251
282,small siding repair,1
282,bathroom renovation,251
283,structural change,561
283,site id,477
283,air sealing,782
283,site id,477
284,repair brick façade,1
284,structural reinforcement,5
284,staircase,9
284,helical tie,1
284,steel plate,3
284,façade repair,2
284,steel plate,3
285,air sealing,782
285,air sealing,782
286,structural change,561
286,site id,477
286,air sealing,782
286,site id,477
287,install harvey replacement windows,13
287,4 harvey,5
287,energy star insert,1
287,structural work,326
288,remodel exist kitchen,13
289,3 additional,1
289,1st floor,343
289,1st floor,343
289,conference room,107
290,exist retail space,3
290,tenant improvement,38
291,structural change,561
291,site id,477
291,air sealing,782
291,site id,477
292,2nd floor,378
292,exist bath,14
292,2nd floor,378
293,remove premium materials,3
293,remove epdm roofing materials,1
293,replace skylight,14
293,remove debris,30
293,1 existing,32
293,roof material,8
293,install premium,6
293,exist skylight,33
294,replace patio windows door,1
294,1 patio,39
294,6 windows,33
294,patio door,83
294,structural change,561
294,patio door,83
295,structural change,561
295,air sealing,782
296,insulation work,599
296,insulation work,599
296,mass save,368
296,save program,353
296,site id,477
297,mass save weatherization,20
298,install like sizes,2
298,4 windows,46
298,structural change,561
299,replace windows,238
299,10 windows,26
299,structural change,561
300,structural change,561
300,site id,477
300,air sealing,782
300,site id,477
301,finish basement,22
301,exterior stairway,1
301,finish basement,22
302,remove install hardwood floor,1
302,install master bedroom,1
302,new bedroom,19
302,kitchen wall opening,1
302,carpet master,1
302,bedroom install,1
304,insulation work,599
304,insulation work,599
304,mass save,368
304,save program,353
305,8 ft,7
305,exist opening,73
306,replace deck composite board,1
307,remove replace windows,30
307,replace 14 windows,1
307,like size,86
307,structural,114
307,like size,86
308,masonry stair,3
308,exist material,2
308,masonry stair,3
309,install -,4
309,install value,1
309,14 onka,1
309,800 series,1
309,series replacement,3
309,replacement windows,23
309,- value,4
310,repair misc,4
310,traffic coating,7
310,misc concrete repair,1
310,traffic coating,7
311,replace floors doors,1
311,interior renovation,326
311,living area,13
311,repair floor,8
311,building,153
311,living area,13
311,repair floor,8
312,wall insulation,45
312,air sealing,782
313,remove new roof membrane,1
313,construct deck,4
314,kitchen,106
315,5 windows,36
316,9 windows,19
317,complete remodel,6
317,new electrical system,3
317,new plumbing system,3
317,new hvac system,18
317,spray foam insulation,6
317,new hardwood floor,9
317,new kitchen,122
318,1 bathrooms,1
318,tenant toilet renovation,1
319,door,36
319,patch drywall,6
319,card reader,5
319,patch drywall,6
319,card reader,5
320,interior wall panel,1
320,room,21
320,plaster base,2
320,plaster base,2
321,3rd floor,285
321,floor bath,22
321,bath room,12
322,install basement,6
322,basement accessory,1
322,accessory apartment,6
323,repair roof,14
323,roof repair,11
323,roof repair,11
324,305 sf,2
324,3/4 bathroom,12
324,finish basement,22
324,305 sf,2
324,family room,58
324,corning basement,1
324,basement finishing,1
324,finishing system,1
324,sf .,5
324,drop ceiling,20
324,family room,58
325,replace vanity,7
325,bathroom,187
325,bathtub,5
325,shower stall,18
325,wall,89
325,floor,180
325,shower stall,18
326,remove skylight,3
326,remove manual hand crank,1
326,install new deck skylight,1
326,exist skylight,33
326,new skylight,18
326,46x48 flat deck,1
327,install new deck,2
328,new parking,1
328,family home,45
329,6th floor,57
329,7th floor,36
329,tenant improvement,38
329,6th floor,57
329,7th floor,36
329,laboratory office,2
329,conference room,107
329,tenant improvement,38
329,laboratory office,2
329,conference room,107
329,room functions,1
330,blown insulation,8
330,door sweeps,3
330,weather stripping,12
330,air sealing,782
330,ma save program,12
330,blown insulation,8
330,door sweeps,3
330,weather stripping,12
330,air sealing,782
331,3rd floor,285
331,microscopy lab,2
331,3rd floor,285
331,change interior finish,1
331,microscopy lab,2
331,act work,1
331,fp work,19
332,blow insulation wall,1
332,insulation attic,2
332,ma save program,12
332,insulation attic,2
333,exist roof deck,10
333,handicap bathroom,1
334,gut bathroom,14
334,location,79
334,new exhaust fan,7
334,new fixture,32
334,gut bathroom,14
335,2 replacement,33
335,structural,114
336,install warming kitchen,1
336,warm kitchen,1
336,new wall,68
336,architectural finish,39
337,13th floors,1
337,new finish,171
337,counter top,41
337,wall tile,28
337,sprinkler,10
337,fire alarm work,9
337,core restroom,2
337,women room,1
337,counter top,41
337,wall tile,28
338,new kitchen,122
338,floor renovation,16
338,floor renovation,16
339,remove bathroom demo,2
339,remove bath tub,3
339,remove closets,2
339,build bedroom doors,1
339,build new shower,1
339,floor bathroom,156
340,install new vent,1
340,install new shower floors fixtures,1
340,standard shower,1
340,new shower fixture,1
340,refinish floor,19
340,interior wall,55
340,floor bathroom,156
341,repair frame,1
341,replace floor hand system rails,1
341,replace other misselenius repairs,1
341,repair misselenius,1
341,spindle system,2
341,porch,76
341,exterior,37
341,home,23
341,hand rail,8
341,spindle system,2
342,mercantile space,1
344,kitchen renovation,172
344,kitchen renovation,172
345,repair front porch,9
346,exist wood floor,1
346,water damage,90
346,water damage,90
347,repair misc exterior,2
347,repair carpentry,6
347,exterior carpentry,3
347,carpentry repair,8
349,12 windows,18
350,700 technology,1
350,second floor,157
350,mep renovation,2
350,technology square,3
350,square building,1
351,exist porchcreate,1
351,workout room,2
352,exist bathroom,147
352,bathroom remodeling,49
353,install sink,5
353,plumbing,28
353,install sink,5
354,remove pavers brick,1
354,exist plaza,1
354,exist brick,5
354,top slab,1
354,new top slap,1
354,waterproofing membrane,4
354,waterproofing membrane,4
354,new trench,1
354,trench drain,3
354,light fixture,49
355,61 replacement window,1
356,exist bathroom,147
357,8 windows,20
359,wood burn stove,1
359,steel pipe,1
359,pipe chimney,1
360,unstable wall,1
360,car,1
361,1/2 bath,30
361,unfinished room,1
362,gut renovation,124
362,exist bathroom,147
362,fixture relocation,2
362,gut renovation,124
362,fixture relocation,2
363,4 windows,46
364,2 replacement,33
364,replacement entry,21
364,entry door,113
365,79 pemberton,2
365,79 pemberton,2
365,pemberton st,1
366,mall style,1
366,security grille,1
367,2 replacement,33
367,replacement entry,21
367,entry door,113
368,remodel unit,4
368,new kitchen,122
368,hardwood flooring,31
369,install new cabinets,13
369,gut exist kitchen,1
369,spray foam,29
369,location,79
369,spray foam,29
370,5 windows,36
371,water remediation,2
371,work exhibit,2
371,water remediation,2
371,work exhibit,2
372,construction office,4
372,office trailer,3
373,replace windows,238
373,3 windows,42
373,rear,35
373,repair trim,5
374,cafe restaurant,1
375,insulation work,599
375,insulation work,599
375,mass save,368
375,save program,353
376,bathroom,187
377,complete interior renovation,7
377,plumbing fixture,94
377,structural work,326
377,plumbing fixture,94
378,exist kitchen,125
378,extra space,1
379,replace basement fence windows,1
379,5 step,1
379,7 existing,7
379,1st level,8
379,paint fence,1
379,1st level,8
379,step entry,1
379,entry stair,6
379,basement window,26
379,level porch,7
380,remove second floor porch,1
380,replace windows,238
381,bath fixture,15
381,new tile floor,17
381,shower area,17
381,low,4
381,bath fixture,15
381,shower area,17
382,cellulose insulation,100
382,exterior wall,166
382,cellulose insulation,100
383,600 sq,2
383,new museum exhibit,1
383,minor architectural modification,1
383,electrical datum,1
383,fire protection,225
383,museum exhibits,2
383,broad institute,6
383,institute lobby,1
383,fire protection,225
383,protection upgrade,1
383,museum exhibits,2
384,bathroom renovation,251
384,fixture,13
384,exterior,37
384,structural work,326
384,bathroom renovation,251
385,remove elevator equipment,1
385,4 floor,2
385,project,176
385,upgrade,3
385,57.6 ft rise,1
385,floor elevator,1
385,elevator shaft,8
385,rise building,2
386,replace front deck,1
386,replace structural roof work,1
387,install wood trim,1
387,install front porch,3
387,34 harvey,2
387,1st floor,343
387,energy star,116
387,half screen,5
387,1st floor,343
387,necessary carpentry,1
387,stud,25
387,common jamb,1
387,replacement windows,23
387,energy star,116
387,factor =,2
388,return building,2
388,original use,1
388,family,14
388,floor,180
388,return building,2
388,law apartment,1
389,complete interior demo,4
389,kitchen,106
389,bathe fixature,1
389,fire damage,14
389,fire damage,14
390,repair foundation,12
390,foundation repair,4
390,foundation repair,4
392,remove rubber roofing,1
392,install epdm rubber roof,1
392,060 mill,2
392,exist rubber roofing,2
392,manufacturer specification,2
392,mill epdm,2
392,manufacturer specification,2
393,remove supports,1
393,demolition alteration,1
393,exist structure,35
393,cool tower,2
393,addition,32
393,steel member,1
394,2 partition,1
394,kitchen pantry,7
394,window,52
394,family,14
394,project,176
394,property,31
394,end,9
394,precaution,1
394,time,22
394,subcontractor,1
394,job site,3
394,give day,1
394,kitchen pantry,7
394,partition wall,94
394,job site,3
395,partial renovation,17
395,ground floor,65
395,new office space,10
395,ground floor,65
396,remove rear stair,1
396,replace siding,26
396,rear exist stair,1
396,basement,92
396,window,52
396,fire alarm system,17
396,interior demo,88
396,permit bldc-51917,2
396,gut renovation,124
396,floor layout,4
396,egress stair,15
396,interior demo,88
396,permit bldc-51917,2
398,remove level bathroom office,1
398,remove interior concrete walkway steps,1
398,replace repair,22
398,install new kitchen system equipment,1
398,mezzanine level office,1
398,interior concrete step,1
398,repair masonry,20
398,frame new interior,1
398,new kitchen equipment,4
398,new hvac system,18
398,new storefront window,2
398,install insulation,23
398,frp panel,2
398,entire space,1
398,repair masonry,20
398,support structure,1
398,masonry opening,3
398,exterior lighting,2
398,frp panel,2
399,6 heads,2
399,kitchen,106
399,half bathroom,52
399,patch exterior,2
399,new windows,4
399,ac split system,1
399,half bathroom,52
399,hardwood flooring,31
399,patch exterior,2
399,natural gas,2
399,gas heat,2
399,heat furnace,1
399,furnace replacement,1
400,floor infill,3
